AN;MOIS;PAX_Depart;PAX_Arrivee;PAX_Transit;FRP_Depart;FRP_Arrivee;NMVT_Mixte;NMVT_Cargo
1990;06;27829;27937;1070;94,1;106,7;765;40
1990;06;30654;29763;0;1,2;17,4;565;0
1990;06;2104;2012;529;1,5;0,9;351;0
1990;06;906;794;0;0;0;105;0
1990;06;1952;2126;42;0;0,4;251;0
1990;06;27022;28373;188;24,1;44,1;578;0
1990;06;1617;1469;0;0;0;195;0
1990;06;3342;3276;2176;0;0;248;0
1990;06;34422;38624;441;83;404,3;820;101
1990;06;12400;15185;1018;0;0;467;0
1990;06;8143;9945;1;0,4;0,6;397;0
1990;06;38996;43359;220;94,7;474,3;964;147
1990;06;3352;3928;1;3;0;178;0
1990;06;14143;14196;637;210,4;236,4;907;242
1990;06;179382;169523;6846;1361,9;1224,5;5025;616
1990;06;2160;1760;0;0,2;0;136;0
1990;06;14908;15503;0;4;11,9;458;4
1990;06;1514;1606;74;0,1;0;142;1
1990;06;609;654;30;0;0;114;0
1990;06;389;374;0;118;58,2;23;21
1990;06;656;552;0;0;0;533;0
1990;06;4409;4550;0;0,4;0,4;210;0
1990;06;222935;215362;26255;1655,3;2355,2;4848;515
1990;06;284344;297676;10632;1249,9;1285,1;11451;222
1990;06;24578;27823;357;9,2;65,4;452;0
1990;06;55578;55902;297;360,6;447,3;1162;122
1990;06;2709;3012;0;2,2;0;150;0
1990;06;6336;6221;67;135,4;173,8;317;112
1990;06;8631;9148;31;6,9;0,4;175;0
1990;06;2724;2691;1279;0;0,4;527;0
1990;06;1314;1184;142;0;0;142;0
1990;06;1039211;1048592;21507;28545,6;26562,3;20376;910
1990;06;1184909;1112022;5709;13530,9;10281,8;17006;713
1990;06;44876;42217;869;228,6;238,4;1481;219
1990;06;23713;24667;127;124,4;204,3;895;42
1990;06;1579;1485;0;2;0,5;396;0
1990;06;3137;3061;0;5,1;1,4;302;0
1990;06;798;745;0;11,7;54;163;0
1990;06;11991;12604;0;2;37,7;221;0
1990;06;1587;1722;449;0;0,1;328;0
1990;06;881;761;0;0,2;1,4;256;3
1990;06;8337;8528;204;49,7;74,7;729;41
1990;06;1928;2057;1;3,8;0;136;0
1990;06;6823;7106;29;1,7;2,4;231;2
1990;06;53476;55349;2747;102,5;115,1;1920;136
1990;06;951;1032;1527;0;0;186;0
1990;06;92270;92016;673;638,9;654,7;3875;376
1990;06;2097;2079;6;0;0;647;0
1990;06;9563;8940;198;0,2;0,1;910;1
1990;06;3205;3511;0;0,3;0,3;289;1
1990;06;1002;1059;38;3,2;0;161;13
1990;06;79343;78394;1024;397,7;266,1;1933;80
1990;06;32587;33292;0;30,6;86,2;496;0
1990;06;20294;18658;339;9,2;17,9;371;0
1990;06;1083;969;0;4,1;12,4;202;0
